t 1 2 jL0100 
11.2 1.31807 1.00085 1.57561
11.22 1.32939 0.992239 1.54914
11.24 1.34035 0.983441 1.52244
11.26 1.35095 0.974462 1.49553
11.28 1.36119 0.965306 1.4684
11.3 1.37107 0.955975 1.44108
11.32 1.38059 0.946472 1.41356
11.34 1.38975 0.9368 1.38586
11.36 1.39855 0.926963 1.35798
11.38 1.40699 0.916963 1.32992
11.4 1.41507 0.906804 1.3017
11.42 1.42279 0.896488 1.27332
11.44 1.43015 0.886019 1.24479
11.46 1.43714 0.875399 1.21612
11.48 1.44377 0.864632 1.18731
11.5 1.45005 0.853722 1.15837
11.52 1.45596 0.84267 1.12931
11.54 1.46151 0.831481 1.10013
11.56 1.46671 0.820158 1.07085
11.58 1.47154 0.808704 1.04146
11.6 1.47602 0.797122 1.01199
11.62 1.48014 0.785415 0.982427
11.64 1.4839 0.773587 0.952786
11.66 1.4873 0.76164 0.923073
11.68 1.49036 0.749579 0.893296
11.7 1.49305 0.737407 0.863461
11.72 1.4954 0.725126 0.833576
11.74 1.49739 0.712741 0.803648
11.76 1.49904 0.700254 0.773683
11.78 1.50033 0.687669 0.743688
11.8 1.50128 0.674989 0.713672
11.82 1.50188 0.662218 0.68364
11.84 1.50213 0.649358 0.653599
11.86 1.50205 0.636414 0.623557
11.88 1.50162 0.623389 0.593519
11.9 1.50085 0.610285 0.563494
11.92 1.49975 0.597107 0.533488
11.94 1.49831 0.583857 0.503506
11.96 1.49654 0.57054 0.473557
11.98 1.49443 0.557157 0.443647
12 1.492 0.543714 0.413782
12.02 1.48923 0.530213 0.38397
12.04 1.48615 0.516657 0.354215
12.06 1.48274 0.50305 0.324526
12.08 1.47901 0.489395 0.294908
12.1 1.47496 0.475696 0.265368
12.12 1.47059 0.461955 0.235912
12.14 1.46592 0.448177 0.206546
12.16 1.46093 0.434364 0.177277
12.18 1.45563 0.42052 0.148111
12.2 1.45003 0.406648 0.119054
12.22 1.44413 0.392751 0.0901114
12.24 1.43793 0.378833 0.0612903
12.26 1.43143 0.364897 0.0325962
12.28 1.42464 0.350947 0.00403503
12.3 1.41756 0.336984 -0.0243874
12.32 1.41019 0.323013 -0.0526653
12.34 1.40253 0.309038 -0.0807929
12.36 1.39459 0.29506 -0.108765
12.38 1.38638 0.281083 -0.136575
12.4 1.37789 0.267111 -0.164218
12.42 1.36913 0.253147 -0.191688
12.44 1.3601 0.239193 -0.218981
12.46 1.3508 0.225253 -0.246091
12.48 1.34124 0.21133 -0.273011
12.5 1.33143 0.197427 -0.299739
12.52 1.32136 0.183547 -0.326267
12.54 1.31104 0.169694 -0.352591
12.56 1.30047 0.155869 -0.378707
12.58 1.28965 0.142077 -0.404608
12.6 1.2786 0.12832 -0.430291
12.62 1.26731 0.114601 -0.455751
12.64 1.25579 0.100923 -0.480982
12.66 1.24404 0.0872885 -0.505981
12.68 1.23206 0.0737013 -0.530742
12.7 1.21986 0.0601637 -0.555262
12.72 1.20744 0.0466787 -0.579535
12.74 1.19481 0.033249 -0.603558
12.76 1.18197 0.0198774 -0.627326
12.78 1.16893 0.00656664 -0.650835
12.8 1.15568 -0.00668047 -0.674082
12.82 1.14223 -0.0198613 -0.697061
12.84 1.12859 -0.0329731 -0.71977
12.86 1.11476 -0.0460133 -0.742203
12.88 1.10074 -0.0589793 -0.764359
12.9 1.08655 -0.0718685 -0.786232
12.92 1.07217 -0.0846783 -0.807819
12.94 1.05762 -0.0974062 -0.829118
12.96 1.0429 -0.11005 -0.850123
12.98 1.02802 -0.122606 -0.870833
13 1.01298 -0.135074 -0.891243
13.02 0.997775 -0.147449 -0.911351
13.04 0.982422 -0.159731 -0.931153
13.06 0.96692 -0.171916 -0.950647
13.08 0.951274 -0.184003 -0.969829
13.1 0.935488 -0.195988 -0.988697
13.12 0.919567 -0.207871 -1.00725
13.14 0.903515 -0.219648 -1.02548
13.16 0.887335 -0.231317 -1.04339
13.18 0.871033 -0.242877 -1.06097
13.2 0.854613 -0.254325 -1.07823
13.22 0.838079 -0.26566 -1.09515
13.24 0.821435 -0.276878 -1.11175
13.26 0.804685 -0.287979 -1.12801
13.28 0.787835 -0.29896 -1.14394
13.3 0.770888 -0.309819 -1.15952
13.32 0.753848 -0.320555 -1.17477
13.34 0.73672 -0.331165 -1.18968
13.36 0.719509 -0.341648 -1.20424
13.38 0.702218 -0.352002 -1.21846
13.4 0.684852 -0.362225 -1.23233
13.42 0.667415 -0.372317 -1.24585
13.44 0.649912 -0.382274 -1.25902
13.46 0.632347 -0.392095 -1.27185
13.48 0.614724 -0.401779 -1.28432
13.5 0.597047 -0.411325 -1.29644
13.52 0.579321 -0.42073 -1.3082
13.54 0.561549 -0.429994 -1.31961
13.56 0.543737 -0.439115 -1.33066
13.58 0.525889 -0.448091 -1.34136
13.6 0.508008 -0.456921 -1.3517
13.62 0.490099 -0.465605 -1.36168
13.64 0.472167 -0.47414 -1.3713
13.66 0.454214 -0.482525 -1.38056
13.68 0.436246 -0.49076 -1.38947
13.7 0.418267 -0.498843 -1.39801
13.72 0.400281 -0.506773 -1.4062
