t 1 2 jL0100 
7.66 -2.4115 -1.02343 -1.00499 
7.68 -2.41058 -1.00247 -0.956776 
7.7 -2.40913 -0.981384 -0.908594 
7.72 -2.40713 -0.960186 -0.860451 
7.74 -2.4046 -0.938878 -0.812359 
7.76 -2.40154 -0.917466 -0.764328 
7.78 -2.39795 -0.895955 -0.716369 
7.8 -2.39383 -0.874351 -0.668493 
7.82 -2.38919 -0.852659 -0.620709 
7.84 -2.38404 -0.830884 -0.573028 
7.86 -2.37836 -0.809032 -0.525461 
7.88 -2.37218 -0.787108 -0.478017 
7.9 -2.36549 -0.765117 -0.430707 
7.92 -2.3583 -0.743066 -0.383541 
7.94 -2.35061 -0.720958 -0.336529 
7.96 -2.34243 -0.6988 -0.28968 
7.98 -2.33376 -0.676596 -0.243005 
8 -2.3246 -0.654352 -0.196513 
8.02 -2.31497 -0.632073 -0.150214 
8.04 -2.30485 -0.609765 -0.104117 
8.06 -2.29427 -0.587432 -0.0582311 
8.08 -2.28322 -0.56508 -0.0125667 
8.1 -2.27171 -0.542715 0.0328674 
8.12 -2.25974 -0.52034 0.0780622 
8.14 -2.24732 -0.497961 0.123009 
8.16 -2.23445 -0.475584 0.167698 
8.18 -2.22115 -0.453213 0.212121 
8.2 -2.20741 -0.430853 0.256269 
8.22 -2.19323 -0.40851 0.300133 
8.24 -2.17863 -0.386189 0.343706 
8.26 -2.16362 -0.363893 0.386978 
8.28 -2.14819 -0.341629 0.429942 
8.3 -2.13235 -0.319401 0.472589 
8.32 -2.1161 -0.297215 0.514911 
8.34 -2.09946 -0.275074 0.556901 
8.36 -2.08243 -0.252983 0.598549 
8.38 -2.06502 -0.230948 0.63985 
8.4 -2.04722 -0.208974 0.680794 
8.42 -2.02905 -0.187064 0.721375 
8.44 -2.01052 -0.165223 0.761585 
8.46 -1.99162 -0.143456 0.801418 
8.48 -1.97237 -0.121768 0.840865 
8.5 -1.95277 -0.100163 0.87992 
8.52 -1.93282 -0.078646 0.918577 
8.54 -1.91254 -0.0572206 0.956828 
8.56 -1.89193 -0.0358916 0.994666 
8.58 -1.87099 -0.0146634 1.03209 
8.6 -1.84974 0.00645987 1.06908 
8.62 -1.82818 0.0274738 1.10564 
8.64 -1.80631 0.0483742 1.14177 
8.66 -1.78414 0.069157 1.17745 
8.68 -1.76169 0.0898181 1.21269 
8.7 -1.73894 0.110353 1.24747 
8.72 -1.71592 0.130759 1.28178 
8.74 -1.69263 0.15103 1.31564 
8.76 -1.66907 0.171164 1.34902 
8.78 -1.64526 0.191156 1.38192 
8.8 -1.62119 0.211003 1.41435 
8.82 -1.59688 0.230701 1.44629 
8.84 -1.57233 0.250246 1.47773 
8.86 -1.54755 0.269634 1.50868 
8.88 -1.52254 0.288862 1.53913 
8.9 -1.49732 0.307927 1.56908 
8.92 -1.47189 0.326824 1.59852 
8.94 -1.44625 0.345551 1.62744 
8.96 -1.42041 0.364104 1.65585 
8.98 -1.39439 0.382479 1.68374 
9 -1.36818 0.400674 1.7111 
9.02 -1.3418 0.418686 1.73794 
9.04 -1.31524 0.43651 1.76424 
9.06 -1.28852 0.454145 1.79001 
9.08 -1.26165 0.471586 1.81525 
9.1 -1.23463 0.488832 1.83994 
9.12 -1.20746 0.505878 1.86409 
9.14 -1.18017 0.522723 1.88769 
9.16 -1.15274 0.539364 1.91075 
9.18 -1.12519 0.555797 1.93325 
9.2 -1.09752 0.57202 1.9552 
9.22 -1.06975 0.588031 1.9766 
9.24 -1.04188 0.603826 1.99743 
9.26 -1.01392 0.619404 2.01771 
9.28 -0.985862 0.634763 2.03743 
9.3 -0.957728 0.649898 2.05658 
9.32 -0.929521 0.664809 2.07517 
9.34 -0.901247 0.679494 2.0932 
9.36 -0.872912 0.693949 2.11066 
9.38 -0.844525 0.708173 2.12755 
9.4 -0.816091 0.722164 2.14387 
9.42 -0.787617 0.735919 2.15962 
9.44 -0.759109 0.749438 2.1748 
9.46 -0.730575 0.762718 2.18942 
9.48 -0.702021 0.775756 2.20346 
9.5 -0.673454 0.788553 2.21693 
9.52 -0.64488 0.801105 2.22982 
9.54 -0.616305 0.813412 2.24215 
9.56 -0.587736 0.825471 2.2539 
9.58 -0.55918 0.837281 2.26509 
9.6 -0.530643 0.848842 2.2757 
9.62 -0.502131 0.860151 2.28574 
9.64 -0.473651 0.871207 2.29522 
9.66 -0.445209 0.882009 2.30412 
9.68 -0.416811 0.892556 2.31246 
9.7 -0.388463 0.902846 2.32023 
9.72 -0.360172 0.91288 2.32743 
9.74 -0.331944 0.922655 2.33407 
9.76 -0.303784 0.932171 2.34014 
9.78 -0.2757 0.941427 2.34566 
9.8 -0.247696 0.950422 2.35061 
9.82 -0.219779 0.959156 2.35501 
9.84 -0.191955 0.967628 2.35885 
9.86 -0.164229 0.975837 2.36213 
9.88 -0.136607 0.983783 2.36486 
9.9 -0.109095 0.991465 2.36704 
9.92 -0.0816996 0.998884 2.36868 
9.94 -0.054425 1.00604 2.36977 
9.96 -0.0272772 1.01293 2.37031 
9.98 -0.000261879 1.01955 2.37032 
10 0.0266156 1.02591 2.36979 
10.02 0.0533499 1.032 2.36872 
10.04 0.0799357 1.03783 2.36712 
10.06 0.106368 1.0434 2.36499 
10.08 0.13264 1.0487 2.36234 
10.1 0.158749 1.05373 2.35917 
10.12 0.184689 1.0585 2.35547 
10.14 0.210454 1.063 2.35126 
10.16 0.23604 1.06725 2.34654 
10.18 0.261441 1.07122 2.34131 
10.2 0.286654 1.07494 2.33558 
10.22 0.311673 1.07839 2.32935 
10.24 0.336494 1.08158 2.32262 
10.26 0.361112 1.08451 2.31539 
10.28 0.385522 1.08717 2.30768 
10.3 0.40972 1.08958 2.29949 
10.32 0.433702 1.09173 2.29082 
10.34 0.457463 1.09361 2.28167 
10.36 0.480999 1.09525 2.27205 
10.38 0.504306 1.09662 2.26196 
10.4 0.527379 1.09774 2.25141 
10.42 0.550215 1.0986 2.24041 
10.44 0.57281 1.09921 2.22895 
10.46 0.59516 1.09957 2.21705 
10.48 0.61726 1.09968 2.2047 
10.5 0.639108 1.09954 2.19192 
10.52 0.660699 1.09914 2.17871 
10.54 0.68203 1.09851 2.16507 
10.56 0.703098 1.09762 2.151 
10.58 0.723899 1.09649 2.13653 
10.6 0.744429 1.09512 2.12164 
10.62 0.764686 1.09351 2.10634 
10.64 0.784666 1.09165 2.09065 
10.66 0.804366 1.08956 2.07456 
10.68 0.823783 1.08723 2.05809 
10.7 0.842914 1.08467 2.04123 
10.72 0.861757 1.08188 2.02399 
10.74 0.880307 1.07885 2.00639 
10.76 0.898564 1.07559 1.98842 
10.78 0.916523 1.07211 1.97009 
10.8 0.934183 1.0684 1.9514 
10.82 0.951541 1.06447 1.93237 
10.84 0.968595 1.06032 1.913 
10.86 0.985342 1.05595 1.89329 
10.88 1.00178 1.05136 1.87326 
10.9 1.01791 1.04655 1.8529 
10.92 1.03372 1.04154 1.83223 
10.94 1.04922 1.03631 1.81124 
10.96 1.0644 1.03087 1.78995 
10.98 1.07926 1.02523 1.76837 
11 1.09381 1.01939 1.74649 
11.02 1.10803 1.01334 1.72433 
11.04 1.12192 1.00709 1.70189 
11.06 1.13549 1.00065 1.67918 
11.08 1.14874 0.994015 1.65621 
11.1 1.16165 0.987187 1.63297 
11.12 1.17424 0.98017 1.60949 
11.14 1.18649 0.972966 1.58576 
11.16 1.19842 0.965579 1.56179 
11.18 1.21001 0.95801 1.53759 
11.2 1.22127 0.950263 1.51317 
11.22 1.23219 0.94234 1.48852 
11.24 1.24278 0.934244 1.46367 
11.26 1.25303 0.925977 1.43861 
11.28 1.26295 0.917542 1.41335 
11.3 1.27253 0.908942 1.3879 
11.32 1.28177 0.90018 1.36226 
11.34 1.29067 0.891259 1.33645 
11.36 1.29924 0.882181 1.31046 
11.38 1.30747 0.872949 1.28431 
11.4 1.31535 0.863567 1.25801 
11.42 1.32291 0.854036 1.23155 
11.44 1.33012 0.844361 1.20495 
11.46 1.33699 0.834543 1.17821 
11.48 1.34352 0.824586 1.15134 
11.5 1.34972 0.814493 1.12434 
11.52 1.35558 0.804267 1.09723 
11.54 1.3611 0.793911 1.07001 
11.56 1.36629 0.783428 1.04268 
11.58 1.37114 0.77282 1.01526 
11.6 1.37565 0.762091 0.987746 
